Security,Symbol,GICS Sector,GICS Sub Industry,Dividend Yield,Market Cap ($M),P/E Ratio
IPG Photonics Corp.,IPGP,Information Technology,Electronic Manufacturing Services,0.0,7225.043136,17.1525316456
IQVIA Holdings Inc.,IQV,Health Care,Life Sciences Tools & Service,0.0,24949.862922,24.4812623274
Iron Mountain Incorporated,IRM,Real Estate,Specialized REITs,0.06779473,10318.216364,16.8497652582
Jack Henry & Associates Inc,JKHY,Information Technology,Data Processing & Outsourced Services,0.011174028,10238.162219,36.7353760446
Jacobs Engineering Group,JEC,Industrials,Construction & Engineering,0.010663321,9076.725078,14.1433408578
J. B. Hunt Transport Services,JBHT,Industrials,Trucking,0.009965504,11345.07996,18.3477112676
Jefferies Financial Group,JEF,Financials,Multi-Sector Holdings,0.0245459,6264.08055,13.9931034483
JM Smucker,SJM,Consumer Staples,Packaged Foods & Meats,0.032827287,11539.625012,12.7569095477
Johnson & Johnson,JNJ,Health Care,Health Care Equipment,0.028074553,343910.034965,15.619804401
Johnson Controls International,JCI,Industrials,Building Products,0.031794558,29759.477632,11.5444839858
JPMorgan Chase & Co.,JPM,Financials,Diversified Banks,0.030950768,338684.962,11.4977728285
Juniper Networks,JNPR,Information Technology,Communications Equipment,0.025369978,9795.481872,21.6115384615
Kansas City Southern,KSU,Industrials,Railroads,0.013221927,11075.868299,18.1289782245
Kellogg Co.,K,Consumer Staples,Packaged Foods & Meats,0.03876774,20050.8817,13.2551724138
KeyCorp,KEY,Financials,Regional Banks,0.040452113,17137.84543,9.60571428571
Keysight Technologies,KEYS,Information Technology,Electronic Equipment & Instruments,0.0,13335.700167,23.95
Kimberly-Clark,KMB,Consumer Staples,Household Products,0.038105807,37301.4,16.447806354
Kimco Realty,KIM,Real Estate,Retail REITs,0.06706587,7037.234794,11.4222972973
Kinder Morgan,KMI,Energy,Oil & Gas Storage & Transportation,0.04509583,39152.504411,19.9382022472
KLA-Tencor Corp.,KLAC,Information Technology,Semiconductor Equipment,0.029588716,15520.305681,12.7378277154
Kohl's Corp.,KSS,Consumer Discretionary,General Merchandise Stores,0.034512022,11674.64653,16.5714285714
Kraft Heinz Co,KHC,Consumer Staples,Packaged Foods & Meats,0.05347594,57008.577461,12.9943977591
Kroger Co.,KR,Consumer Staples,Food Retail,0.019914651,22432.534144,13.7303921569
L Brands Inc.,LB,Consumer Discretionary,Apparel Retail,0.08679928,7607.206056,8.67080745342
L-3 Communications Holdings,LLL,Industrials,Aerospace & Defense,0.017345114,14518.911184,18.3086913087
Laboratory Corp. of America Holding,LH,Health Care,Health Care Services,0.0,13863.66,12.3598173516
Lam Research,LRCX,Information Technology,Semiconductor Equipment,0.02658771,25479.00589,9.28603351955
Lamb Weston Holdings Inc,LW,Consumer Staples,Packaged Foods & Meats,0.011251758,10415.584257,26.4194756554
Leggett & Platt,LEG,Consumer Discretionary,Home Furnishings,0.038028522,5212.797627,16.2154471545
Lennar Corp.,LEN,Consumer Discretionary,Homebuilding,0.0035906643,14717.509314,7.41487603306
Lilly (Eli) & Co.,LLY,Health Care,Pharmaceuticals,0.022440636,121790.279657,21.2551210428
Lincoln National,LNC,Financials,Multi-line Insurance,0.02487813,12707.345031,7.13537906137
Linde plc,LIN,Materials,Industrial Gases,0.020775623,88656.138734,
LKQ Corporation,LKQ,Consumer Discretionary,Distributors,0.0,8298.725216,12.1877934272
Lockheed Martin Corp.,LMT,Industrials,Aerospace & Defense,0.03065775,81641.549484,16.1148002251
Loews Corp.,L,Financials,Multi-line Insurance,0.00523122,15015.171116,14.1458333333
Lowe's Cos.,LOW,Consumer Discretionary,Home Improvement Retail,0.02046472,75333.426397,21.1662870159
LyondellBasell,LYB,Materials,Specialty Chemicals,0.04639833,33075.129455,7.0626029654
M&T Bank Corp.,MTB,Financials,Regional Banks,0.023765671,23316.65754,12.3188512518
Macerich,MAC,Real Estate,Retail REITs,0.065019507,6508.088618,11.9038461538
Macy's Inc.,M,Consumer Discretionary,Department Stores,0.05919247,7843.489292,6.81564986737
